Iteration 1:
('No dermatoscopic feature of a benign nevus', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.7026
('No fingerprint pattern', 'Presence of a fingerprint pattern'), Score: 0.6029
('No negative pigment network', 'Presence of a prominent pigment network'), Score: 0.6029
('No spoke-wheel pattern', 'Presence of a spoke-wheel pattern'), Score: 0.6021
('No atypical fibrovascular network', 'Presence of atypical fibrovascular network'), Score: 0.6015
('No papillae', 'Presence of papillae'), Score: 0.6011

Iteration 210:
('No reticular pattern', 'Presence of reticular pattern'), Score: 0.7029
('No dermatoscopic feature of a benign nevus', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.7026
('No sheet-like melanocytes', 'Presence of sheet-like melanocytes'), Score: 0.6983
('No hypopigmentation', 'Presence of hypopigmentation'), Score: 0.6974
('No parallel furrow pattern', 'Presence of chaotic furrow pattern'), Score: 0.6965
('No small dots', 'Presence of large dots'), Score: 0.6923
('No sheet-like melanocytic proliferation', 'Presence of sheet-like melanocytic proliferation'), Score: 0.6891
('No parallel furrow pattern', 'Presence of parallel furrow pattern'), Score: 0.6885
('No Spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No dermatoscopic feature suggesting benign lesion', 'Presence of dermatoscopic features suggesting melanoma'), Score: 0.6835
('No Spitz nevus features', 'Presence of features indicative of melanoma'), Score: 0.6815
('No negative dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6790
('No polymorphic vessels', 'Presence of polymorphic vessels'), Score: 0.6778
('No spitz nevus features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6778
('No atypical vascular branching', 'Presence of atypical vascular branching'), Score: 0.6767
('No irregular streaks', 'Presence of irregular streaks'), Score: 0.6733
('No network of irregular vessels', 'Presence of a network of irregular vessels'), Score: 0.6698
('No sheet-like pattern', 'Presence of sheet-like pattern'), Score: 0.6679
('No homogenous color', 'Presence of variegated color'), Score: 0.6656
('No sheet-like pattern', 'Presence of a sheet-like pattern'), Score: 0.6654
('No homogenous color', 'Presence of variegated coloration'), Score: 0.6647
('No cobblestone pattern', 'Presence of cobblestone pattern'), Score: 0.6621
('No blue-white veil', 'Presence of steel-blue grey dots/veil'), Score: 0.6585
('No negative pigment network', 'Presence of pigment network'), Score: 0.6567
('No small melanocytes', 'Presence of large, atypical melanocytes'), Score: 0.6562
('No atypical vascular pattern', 'Presence of atypical vascular pattern'), Score: 0.6527
('No spitz nevus-like features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6524
('No Y-pattern', 'Presence of Y-pattern'), Score: 0.6518
('No milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6516
('No pigmented regression streaks', 'Presence of pigmented regression streaks'), Score: 0.6514
('No streak pattern', 'Presence of a streak pattern'), Score: 0.6508
('No absence of Hutchinson’s sign', 'Presence of Hutchinson’s sign'), Score: 0.6506
('No small melanocytic nests', 'Presence of large melanocytic nests'), Score: 0.6484
('No linear vessels', 'Presence of linear vessels'), Score: 0.6456
('No crown-like vessels', 'Presence of crown-like vessels'), Score: 0.6444
('No spitz nevus features', 'Presence of melanoma-specific features'), Score: 0.6431
('No small melanocytes', 'Presence of large melanocytes'), Score: 0.6404
('No network of irregular lines', 'Presence of a network of irregular lines'), Score: 0.6394
('No vascular atypia', 'Presence of vascular atypia'), Score: 0.6383
('No small globules', 'Presence of large globules'), Score: 0.6355
('No absence of mature fibroblasts', 'Presence of mature fibroblasts'), Score: 0.6335
('No stepladder vessels', 'Presence of stepladder vessels'), Score: 0.6325
('No negative pigment network', 'Presence of atypical pigment network'), Score: 0.6302
('No peripheral black dots', 'Presence of peripheral black dots'), Score: 0.6299
('No absence of blood spots', 'Presence of blood spots'), Score: 0.6297
('No negative pigment network', 'Presence of positive pigment network'), Score: 0.6294
('No streaks', 'Presence of pseudopods'), Score: 0.6269
('No Y-shaped pattern', 'Presence of a Y-shaped pattern'), Score: 0.6255
('No small collagen bundles', 'Presence of large collagen bundles'), Score: 0.6251
('No dermal papillae', 'Presence of dermal papillae'), Score: 0.6230
('No regular dots', 'Presence of irregular dots'), Score: 0.6169
('No symmetric pattern', 'Presence of asymmetric pattern'), Score: 0.6167
('No dermatoscopic feature of seborrheic keratosis', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.6165
('No absence of pigment network', 'Presence of pigment network'), Score: 0.6150
('No irregular papillae', 'Presence of irregular papillae'), Score: 0.6148
('No globules', 'Presence of globules'), Score: 0.6148
('No regular dots and globules', 'Presence of irregular dots and globules'), Score: 0.6140
('No pigmented spindle cells', 'Presence of pigmented spindle cells'), Score: 0.6117
('No globules with irregular shapes', 'Presence of globules with irregular shapes'), Score: 0.6116
('No dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6115
('No sharp border', 'Presence of blurred border'), Score: 0.6108
('No parallel pattern lines', 'Presence of parallel pattern lines'), Score: 0.6084
('No homogenous pigmentation', 'Presence of variegated pigmentation'), Score: 0.6082
('No absence of dermal invasion', 'Presence of dermal invasion'), Score: 0.6060
('No glomerular vessels', 'Presence of glomerular vessels'), Score: 0.6059
('No globules', 'Presence of large globules'), Score: 0.6045
('No vascular pattern', 'Presence of a polymorphic vascular pattern'), Score: 0.6032
('No Bowen’s disease-like features', 'Presence of Bowen’s disease-like features'), Score: 0.6030
('No fingerprint pattern', 'Presence of a fingerprint pattern'), Score: 0.6029
('No negative pigment network', 'Presence of a prominent pigment network'), Score: 0.6029
('No spoke-wheel pattern', 'Presence of a spoke-wheel pattern'), Score: 0.6021
('No atypical fibrovascular network', 'Presence of atypical fibrovascular network'), Score: 0.6015
('No papillae', 'Presence of papillae'), Score: 0.6011

Iteration 220:
('No reticular pattern', 'Presence of reticular pattern'), Score: 0.7029
('No dermatoscopic feature of a benign nevus', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.7026
('No sheet-like melanocytes', 'Presence of sheet-like melanocytes'), Score: 0.6983
('No hypopigmentation', 'Presence of hypopigmentation'), Score: 0.6974
('No parallel furrow pattern', 'Presence of chaotic furrow pattern'), Score: 0.6965
('No small dots', 'Presence of large dots'), Score: 0.6923
('No sheet-like melanocytic proliferation', 'Presence of sheet-like melanocytic proliferation'), Score: 0.6891
('No parallel furrow pattern', 'Presence of parallel furrow pattern'), Score: 0.6885
('No Spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No dermatoscopic feature suggesting benign lesion', 'Presence of dermatoscopic features suggesting melanoma'), Score: 0.6835
('No Spitz nevus features', 'Presence of features indicative of melanoma'), Score: 0.6815
('No negative dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6790
('No polymorphic vessels', 'Presence of polymorphic vessels'), Score: 0.6778
('No spitz nevus features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6778
('No atypical vascular branching', 'Presence of atypical vascular branching'), Score: 0.6767
('No irregular streaks', 'Presence of irregular streaks'), Score: 0.6733
('No network of irregular vessels', 'Presence of a network of irregular vessels'), Score: 0.6698
('No blue-white veil absent', 'Presence of blue-white veil'), Score: 0.6682
('No sheet-like pattern', 'Presence of sheet-like pattern'), Score: 0.6679
('No homogenous color', 'Presence of variegated color'), Score: 0.6656
('No sheet-like pattern', 'Presence of a sheet-like pattern'), Score: 0.6654
('No homogenous color', 'Presence of variegated coloration'), Score: 0.6647
('No cobblestone pattern', 'Presence of cobblestone pattern'), Score: 0.6621
('No blue-white veil', 'Presence of steel-blue grey dots/veil'), Score: 0.6585
('No negative pigment network', 'Presence of pigment network'), Score: 0.6567
('No small melanocytes', 'Presence of large, atypical melanocytes'), Score: 0.6562
('No atypical vascular pattern', 'Presence of atypical vascular pattern'), Score: 0.6527
('No spitz nevus-like features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6524
('No Y-pattern', 'Presence of Y-pattern'), Score: 0.6518
('No milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6516
('No pigmented regression streaks', 'Presence of pigmented regression streaks'), Score: 0.6514
('No streak pattern', 'Presence of a streak pattern'), Score: 0.6508
('No absence of Hutchinson’s sign', 'Presence of Hutchinson’s sign'), Score: 0.6506
('No small melanocytic nests', 'Presence of large melanocytic nests'), Score: 0.6484
('No symmetric pigmented network', 'Presence of asymmetric pigmented network'), Score: 0.6475
('No linear vessels', 'Presence of linear vessels'), Score: 0.6456
('No crown-like vessels', 'Presence of crown-like vessels'), Score: 0.6444
('No parallel furrow pattern absent', 'Presence of parallel furrow pattern'), Score: 0.6433
('No spitz nevus features', 'Presence of melanoma-specific features'), Score: 0.6431
('No small melanocytes', 'Presence of large melanocytes'), Score: 0.6404
('No network of irregular lines', 'Presence of a network of irregular lines'), Score: 0.6394
('No vascular atypia', 'Presence of vascular atypia'), Score: 0.6383
('No small globules', 'Presence of large globules'), Score: 0.6355
('No absence of mature fibroblasts', 'Presence of mature fibroblasts'), Score: 0.6335
('No stepladder vessels', 'Presence of stepladder vessels'), Score: 0.6325
('No negative pigment network', 'Presence of atypical pigment network'), Score: 0.6302
('No peripheral black dots', 'Presence of peripheral black dots'), Score: 0.6299
('No absence of blood spots', 'Presence of blood spots'), Score: 0.6297
('No negative pigment network', 'Presence of positive pigment network'), Score: 0.6294
('No streaks', 'Presence of pseudopods'), Score: 0.6269
('No Y-shaped pattern', 'Presence of a Y-shaped pattern'), Score: 0.6255
('No small collagen bundles', 'Presence of large collagen bundles'), Score: 0.6251
('No dermal papillae', 'Presence of dermal papillae'), Score: 0.6230
('No spitz-like morphology', 'Presence of atypical melanocytic morphology'), Score: 0.6229
('No regular dots', 'Presence of irregular dots'), Score: 0.6169
('No symmetric pattern', 'Presence of asymmetric pattern'), Score: 0.6167
('No dermatoscopic feature of seborrheic keratosis', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.6165
('No absence of pigment network', 'Presence of pigment network'), Score: 0.6150
('No irregular papillae', 'Presence of irregular papillae'), Score: 0.6148
('No globules', 'Presence of globules'), Score: 0.6148
('No regular dots and globules', 'Presence of irregular dots and globules'), Score: 0.6140
('No hypopigmentation absent', 'Presence of hypopigmentation'), Score: 0.6124
('No pigmented spindle cells', 'Presence of pigmented spindle cells'), Score: 0.6117
('No globules with irregular shapes', 'Presence of globules with irregular shapes'), Score: 0.6116
('No dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6115
('No sharp border', 'Presence of blurred border'), Score: 0.6108
('No parallel pattern lines', 'Presence of parallel pattern lines'), Score: 0.6084
('No homogenous pigmentation', 'Presence of variegated pigmentation'), Score: 0.6082
('No absence of dermal invasion', 'Presence of dermal invasion'), Score: 0.6060
('No glomerular vessels', 'Presence of glomerular vessels'), Score: 0.6059
('No globules', 'Presence of large globules'), Score: 0.6045
('No vascular pattern', 'Presence of a polymorphic vascular pattern'), Score: 0.6032
('No Bowen’s disease-like features', 'Presence of Bowen’s disease-like features'), Score: 0.6030
('No fingerprint pattern', 'Presence of a fingerprint pattern'), Score: 0.6029
('No negative pigment network', 'Presence of a prominent pigment network'), Score: 0.6029
('No spoke-wheel pattern', 'Presence of a spoke-wheel pattern'), Score: 0.6021
('No uniform color', 'Variable coloration'), Score: 0.6019
('No atypical fibrovascular network', 'Presence of atypical fibrovascular network'), Score: 0.6015
('No papillae', 'Presence of papillae'), Score: 0.6011

Iteration 230:
('No reticular pattern', 'Presence of reticular pattern'), Score: 0.7029
('No dermatoscopic feature of a benign nevus', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.7026
('No sheet-like melanocytes', 'Presence of sheet-like melanocytes'), Score: 0.6983
('No hypopigmentation', 'Presence of hypopigmentation'), Score: 0.6974
('No parallel furrow pattern', 'Presence of chaotic furrow pattern'), Score: 0.6965
('No small dots', 'Presence of large dots'), Score: 0.6923
('No sheet-like melanocytic proliferation', 'Presence of sheet-like melanocytic proliferation'), Score: 0.6891
('No parallel furrow pattern', 'Presence of parallel furrow pattern'), Score: 0.6885
('No Spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No dermatoscopic feature suggesting benign lesion', 'Presence of dermatoscopic features suggesting melanoma'), Score: 0.6835
('No Spitz nevus features', 'Presence of features indicative of melanoma'), Score: 0.6815
('No negative dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6790
('No polymorphic vessels', 'Presence of polymorphic vessels'), Score: 0.6778
('No spitz nevus features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6778
('No atypical vascular branching', 'Presence of atypical vascular branching'), Score: 0.6767
('No irregular streaks', 'Presence of irregular streaks'), Score: 0.6733
('No network of irregular vessels', 'Presence of a network of irregular vessels'), Score: 0.6698
('No blue-white veil absent', 'Presence of blue-white veil'), Score: 0.6682
('No sheet-like pattern', 'Presence of sheet-like pattern'), Score: 0.6679
('No homogenous color', 'Presence of variegated color'), Score: 0.6656
('No sheet-like pattern', 'Presence of a sheet-like pattern'), Score: 0.6654
('No homogenous color', 'Presence of variegated coloration'), Score: 0.6647
('No cobblestone pattern', 'Presence of cobblestone pattern'), Score: 0.6621
('No blue-white veil', 'Presence of steel-blue grey dots/veil'), Score: 0.6585
('No negative pigment network', 'Presence of pigment network'), Score: 0.6567
('No small melanocytes', 'Presence of large, atypical melanocytes'), Score: 0.6562
('No atypical vascular pattern', 'Presence of atypical vascular pattern'), Score: 0.6527
('No spitz nevus-like features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6524
('No Y-pattern', 'Presence of Y-pattern'), Score: 0.6518
('No milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6516
('No pigmented regression streaks', 'Presence of pigmented regression streaks'), Score: 0.6514
('No streak pattern', 'Presence of a streak pattern'), Score: 0.6508
('No absence of Hutchinson’s sign', 'Presence of Hutchinson’s sign'), Score: 0.6506
('No small melanocytic nests', 'Presence of large melanocytic nests'), Score: 0.6484
('No symmetric pigmented network', 'Presence of asymmetric pigmented network'), Score: 0.6475
('No linear vessels', 'Presence of linear vessels'), Score: 0.6456
('No crown-like vessels', 'Presence of crown-like vessels'), Score: 0.6444
('No parallel furrow pattern absent', 'Presence of parallel furrow pattern'), Score: 0.6433
('No spitz nevus features', 'Presence of melanoma-specific features'), Score: 0.6431
('No small melanocytes', 'Presence of large melanocytes'), Score: 0.6404
('No network of irregular lines', 'Presence of a network of irregular lines'), Score: 0.6394
('No vascular atypia', 'Presence of vascular atypia'), Score: 0.6383
('No small globules', 'Presence of large globules'), Score: 0.6355
('No absence of mature fibroblasts', 'Presence of mature fibroblasts'), Score: 0.6335
('No stepladder vessels', 'Presence of stepladder vessels'), Score: 0.6325
('No negative pigment network', 'Presence of atypical pigment network'), Score: 0.6302
('No peripheral black dots', 'Presence of peripheral black dots'), Score: 0.6299
('No absence of blood spots', 'Presence of blood spots'), Score: 0.6297
('No negative pigment network', 'Presence of positive pigment network'), Score: 0.6294
('No streaks', 'Presence of pseudopods'), Score: 0.6269
('No Y-shaped pattern', 'Presence of a Y-shaped pattern'), Score: 0.6255
('No small collagen bundles', 'Presence of large collagen bundles'), Score: 0.6251
('No dermal papillae', 'Presence of dermal papillae'), Score: 0.6230
('No spitz-like morphology', 'Presence of atypical melanocytic morphology'), Score: 0.6229
('No absence of milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6191
('No regular dots', 'Presence of irregular dots'), Score: 0.6169
('No symmetric pattern', 'Presence of asymmetric pattern'), Score: 0.6167
('No dermatoscopic feature of seborrheic keratosis', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.6165
('No absence of pigment network', 'Presence of pigment network'), Score: 0.6150
('No irregular papillae', 'Presence of irregular papillae'), Score: 0.6148
('No globules', 'Presence of globules'), Score: 0.6148
('No regular dots and globules', 'Presence of irregular dots and globules'), Score: 0.6140
('No hypopigmentation absent', 'Presence of hypopigmentation'), Score: 0.6124
('No pigmented spindle cells', 'Presence of pigmented spindle cells'), Score: 0.6117
('No globules with irregular shapes', 'Presence of globules with irregular shapes'), Score: 0.6116
('No dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6115
('No sharp border', 'Presence of blurred border'), Score: 0.6108
('No parallel pattern lines', 'Presence of parallel pattern lines'), Score: 0.6084
('No homogenous pigmentation', 'Presence of variegated pigmentation'), Score: 0.6082
('No absence of dermal invasion', 'Presence of dermal invasion'), Score: 0.6060
('No glomerular vessels', 'Presence of glomerular vessels'), Score: 0.6059
('No globules', 'Presence of large globules'), Score: 0.6045
('No vascular pattern', 'Presence of a polymorphic vascular pattern'), Score: 0.6032
('No Bowen’s disease-like features', 'Presence of Bowen’s disease-like features'), Score: 0.6030
('No fingerprint pattern', 'Presence of a fingerprint pattern'), Score: 0.6029
('No negative pigment network', 'Presence of a prominent pigment network'), Score: 0.6029
('No spoke-wheel pattern', 'Presence of a spoke-wheel pattern'), Score: 0.6021
('No uniform color', 'Variable coloration'), Score: 0.6019
('No atypical fibrovascular network', 'Presence of atypical fibrovascular network'), Score: 0.6015
('No papillae', 'Presence of papillae'), Score: 0.6011

Iteration 240:
('No reticular pattern', 'Presence of reticular pattern'), Score: 0.7029
('No dermatoscopic feature of a benign nevus', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.7026
('No sheet-like melanocytes', 'Presence of sheet-like melanocytes'), Score: 0.6983
('No hypopigmentation', 'Presence of hypopigmentation'), Score: 0.6974
('No parallel furrow pattern', 'Presence of chaotic furrow pattern'), Score: 0.6965
('No small dots', 'Presence of large dots'), Score: 0.6923
('No sheet-like melanocytic proliferation', 'Presence of sheet-like melanocytic proliferation'), Score: 0.6891
('No parallel furrow pattern', 'Presence of parallel furrow pattern'), Score: 0.6885
('No Spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No dermatoscopic feature suggesting benign lesion', 'Presence of dermatoscopic features suggesting melanoma'), Score: 0.6835
('No Spitz nevus features', 'Presence of features indicative of melanoma'), Score: 0.6815
('No negative dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6790
('No polymorphic vessels', 'Presence of polymorphic vessels'), Score: 0.6778
('No spitz nevus features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6778
('No atypical vascular branching', 'Presence of atypical vascular branching'), Score: 0.6767
('No irregular streaks', 'Presence of irregular streaks'), Score: 0.6733
('No network of irregular vessels', 'Presence of a network of irregular vessels'), Score: 0.6698
('No blue-white veil absent', 'Presence of blue-white veil'), Score: 0.6682
('No sheet-like pattern', 'Presence of sheet-like pattern'), Score: 0.6679
('No homogenous color', 'Presence of variegated color'), Score: 0.6656
('No sheet-like pattern', 'Presence of a sheet-like pattern'), Score: 0.6654
('No homogenous color', 'Presence of variegated coloration'), Score: 0.6647
('No cobblestone pattern', 'Presence of cobblestone pattern'), Score: 0.6621
('No blue-white veil', 'Presence of steel-blue grey dots/veil'), Score: 0.6585
('No negative pigment network', 'Presence of pigment network'), Score: 0.6567
('No small melanocytes', 'Presence of large, atypical melanocytes'), Score: 0.6562
('No atypical vascular pattern', 'Presence of atypical vascular pattern'), Score: 0.6527
('No spitz nevus-like features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6524
('No Y-pattern', 'Presence of Y-pattern'), Score: 0.6518
('No milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6516
('No pigmented regression streaks', 'Presence of pigmented regression streaks'), Score: 0.6514
('No streak pattern', 'Presence of a streak pattern'), Score: 0.6508
('No absence of Hutchinson’s sign', 'Presence of Hutchinson’s sign'), Score: 0.6506
('No small melanocytic nests', 'Presence of large melanocytic nests'), Score: 0.6484
('No symmetric pigmented network', 'Presence of asymmetric pigmented network'), Score: 0.6475
('No linear vessels', 'Presence of linear vessels'), Score: 0.6456
('No crown-like vessels', 'Presence of crown-like vessels'), Score: 0.6444
('No parallel furrow pattern absent', 'Presence of parallel furrow pattern'), Score: 0.6433
('No spitz nevus features', 'Presence of melanoma-specific features'), Score: 0.6431
('No small melanocytes', 'Presence of large melanocytes'), Score: 0.6404
('No network of irregular lines', 'Presence of a network of irregular lines'), Score: 0.6394
('No vascular atypia', 'Presence of vascular atypia'), Score: 0.6383
('No globular nests', 'Presence of globular nests'), Score: 0.6366
('No small globules', 'Presence of large globules'), Score: 0.6355
('No absence of mature fibroblasts', 'Presence of mature fibroblasts'), Score: 0.6335
('No stepladder vessels', 'Presence of stepladder vessels'), Score: 0.6325
('No negative pigment network', 'Presence of atypical pigment network'), Score: 0.6302
('No peripheral black dots', 'Presence of peripheral black dots'), Score: 0.6299
('No absence of blood spots', 'Presence of blood spots'), Score: 0.6297
('No negative pigment network', 'Presence of positive pigment network'), Score: 0.6294
('No streaks', 'Presence of pseudopods'), Score: 0.6269
('No Y-shaped pattern', 'Presence of a Y-shaped pattern'), Score: 0.6255
('No small collagen bundles', 'Presence of large collagen bundles'), Score: 0.6251
('No dermal papillae', 'Presence of dermal papillae'), Score: 0.6230
('No spitz-like morphology', 'Presence of atypical melanocytic morphology'), Score: 0.6229
('No absence of milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6191
('No regular dots', 'Presence of irregular dots'), Score: 0.6169
('No symmetric pattern', 'Presence of asymmetric pattern'), Score: 0.6167
('No dermatoscopic feature of seborrheic keratosis', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.6165
('No absence of pigment network', 'Presence of pigment network'), Score: 0.6150
('No irregular papillae', 'Presence of irregular papillae'), Score: 0.6148
('No globules', 'Presence of globules'), Score: 0.6148
('No regular dots and globules', 'Presence of irregular dots and globules'), Score: 0.6140
('No hypopigmentation absent', 'Presence of hypopigmentation'), Score: 0.6124
('No pigmented spindle cells', 'Presence of pigmented spindle cells'), Score: 0.6117
('No globules with irregular shapes', 'Presence of globules with irregular shapes'), Score: 0.6116
('No dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6115
('No sharp border', 'Presence of blurred border'), Score: 0.6108
('No parallel pattern lines', 'Presence of parallel pattern lines'), Score: 0.6084
('No homogenous pigmentation', 'Presence of variegated pigmentation'), Score: 0.6082
('No absence of dermal invasion', 'Presence of dermal invasion'), Score: 0.6060
('No glomerular vessels', 'Presence of glomerular vessels'), Score: 0.6059
('No globules', 'Presence of large globules'), Score: 0.6045
('No vascular pattern', 'Presence of a polymorphic vascular pattern'), Score: 0.6032
('No Bowen’s disease-like features', 'Presence of Bowen’s disease-like features'), Score: 0.6030
('No fingerprint pattern', 'Presence of a fingerprint pattern'), Score: 0.6029
('No negative pigment network', 'Presence of a prominent pigment network'), Score: 0.6029
('No spoke-wheel pattern', 'Presence of a spoke-wheel pattern'), Score: 0.6021
('No uniform color', 'Variable coloration'), Score: 0.6019
('No atypical fibrovascular network', 'Presence of atypical fibrovascular network'), Score: 0.6015
('No papillae', 'Presence of papillae'), Score: 0.6011

Iteration 250:
('No single melanocyte nests', 'Presence of multiple melanocyte nests'), Score: 0.7519
('No reticular pattern', 'Presence of reticular pattern'), Score: 0.7029
('No dermatoscopic feature of a benign nevus', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.7026
('No sheet-like melanocytes', 'Presence of sheet-like melanocytes'), Score: 0.6983
('No hypopigmentation', 'Presence of hypopigmentation'), Score: 0.6974
('No parallel furrow pattern', 'Presence of chaotic furrow pattern'), Score: 0.6965
('No small dots', 'Presence of large dots'), Score: 0.6923
('No sheet-like melanocytic proliferation', 'Presence of sheet-like melanocytic proliferation'), Score: 0.6891
('No parallel furrow pattern', 'Presence of parallel furrow pattern'), Score: 0.6885
('No Spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No spitz nevus features', 'Presence of features suggestive of melanoma'), Score: 0.6850
('No dermatoscopic feature suggesting benign lesion', 'Presence of dermatoscopic features suggesting melanoma'), Score: 0.6835
('No Spitz nevus features', 'Presence of features indicative of melanoma'), Score: 0.6815
('No negative dermatoscopic structures', 'Presence of multiple dermatoscopic structures'), Score: 0.6790
('No polymorphic vessels', 'Presence of polymorphic vessels'), Score: 0.6778
('No spitz nevus features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6778
('No atypical vascular branching', 'Presence of atypical vascular branching'), Score: 0.6767
('No irregular streaks', 'Presence of irregular streaks'), Score: 0.6733
('No network of irregular vessels', 'Presence of a network of irregular vessels'), Score: 0.6698
('No blue-white veil absent', 'Presence of blue-white veil'), Score: 0.6682
('No sheet-like pattern', 'Presence of sheet-like pattern'), Score: 0.6679
('No homogenous color', 'Presence of variegated color'), Score: 0.6656
('No sheet-like pattern', 'Presence of a sheet-like pattern'), Score: 0.6654
('No homogenous color', 'Presence of variegated coloration'), Score: 0.6647
('No cobblestone pattern', 'Presence of cobblestone pattern'), Score: 0.6621
('No blue-white veil', 'Presence of steel-blue grey dots/veil'), Score: 0.6585
('No negative pigment network', 'Presence of pigment network'), Score: 0.6567
('No small melanocytes', 'Presence of large, atypical melanocytes'), Score: 0.6562
('No atypical vascular pattern', 'Presence of atypical vascular pattern'), Score: 0.6527
('No spitz nevus-like features', 'Presence of features suggestive of Spitz nevus'), Score: 0.6524
('No Y-pattern', 'Presence of Y-pattern'), Score: 0.6518
('No milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6516
('No pigmented regression streaks', 'Presence of pigmented regression streaks'), Score: 0.6514
('No streak pattern', 'Presence of a streak pattern'), Score: 0.6508
('No absence of Hutchinson’s sign', 'Presence of Hutchinson’s sign'), Score: 0.6506
('No small melanocytic nests', 'Presence of large melanocytic nests'), Score: 0.6484
('No symmetric pigmented network', 'Presence of asymmetric pigmented network'), Score: 0.6475
('No linear vessels', 'Presence of linear vessels'), Score: 0.6456
('No crown-like vessels', 'Presence of crown-like vessels'), Score: 0.6444
('No parallel furrow pattern absent', 'Presence of parallel furrow pattern'), Score: 0.6433
('No spitz nevus features', 'Presence of melanoma-specific features'), Score: 0.6431
('No small melanocytes', 'Presence of large melanocytes'), Score: 0.6404
('No network of irregular lines', 'Presence of a network of irregular lines'), Score: 0.6394
('No vascular atypia', 'Presence of vascular atypia'), Score: 0.6383
('No globular nests', 'Presence of globular nests'), Score: 0.6366
('No small globules', 'Presence of large globules'), Score: 0.6355
('No absence of mature fibroblasts', 'Presence of mature fibroblasts'), Score: 0.6335
('No stepladder vessels', 'Presence of stepladder vessels'), Score: 0.6325
('No negative pigment network', 'Presence of atypical pigment network'), Score: 0.6302
('No peripheral black dots', 'Presence of peripheral black dots'), Score: 0.6299
('No absence of blood spots', 'Presence of blood spots'), Score: 0.6297
('No negative pigment network', 'Presence of positive pigment network'), Score: 0.6294
('No streaks', 'Presence of pseudopods'), Score: 0.6269
('No Y-shaped pattern', 'Presence of a Y-shaped pattern'), Score: 0.6255
('No small collagen bundles', 'Presence of large collagen bundles'), Score: 0.6251
('No dermal papillae', 'Presence of dermal papillae'), Score: 0.6230
('No spitz-like morphology', 'Presence of atypical melanocytic morphology'), Score: 0.6229
('No absence of milia-like cysts', 'Presence of milia-like cysts'), Score: 0.6191
('No regular dots', 'Presence of irregular dots'), Score: 0.6169
('No symmetric pattern', 'Presence of asymmetric pattern'), Score: 0.6167
('No dermatoscopic feature of seborrheic keratosis', 'Presence of dermatoscopic features suggestive of melanoma'), Score: 0.6165
('No absence of pigment network', 'Presence of pigment network'), Score: 0.6150
('No irregular papillae', 'Presence of irregular papillae'), Score: 0.6148
('No globules', 'Presence of globules'), Score: 0.6148
('No regular dots and globules', 'Presence of irregular dots and globules'), Score: 0.6140
('No hypopigmentation absent', 'Presence of hypopigmentation'), Score: 0.6124
('No pigmented spindle cells', 'Presence of pigmented spindle cells'), Score: 0.6117
